precinct_id,city,dem_reg_pct,rep_reg_pct,dem_turnout_pct,rep_turnout_pct,dem_rep_margin,total_turnout,categories
23474,Camarillo,39.75,34.94,42.31,42.31,0.0,312.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23773,Thousand Oaks,36.78,32.37,40.08,40.08,0.0,252.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24738,Camarillo,35.21,32.77,38.98,38.98,0.0,236.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
20070,Westlake Village,37.38,35.93,41.0,41.21,-0.21000000000000085,1400.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24346,Simi Valley,41.24,31.63,41.79,41.43,0.35999999999999943,280.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23791,Thousand Oaks,35.38,33.33,40.51,39.74,0.769999999999996,390.0,HIGHLY_COMPETITIVE|DEM_LEAN|DEM_FLIP_TARGET|REP_FLIP_TARGET
23967,Thousand Oaks,36.65,33.66,40.06,39.23,0.8300000000000054,362.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23636,Thousand Oaks,36.8,35.33,39.94,40.79,-0.8500000000000014,353.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23869,Thousand Oaks,39.73,32.84,41.33,40.47,0.8599999999999994,467.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23932,Thousand Oaks,37.07,38.37,40.64,41.59,-0.9500000000000028,529.0,HIGHLY_COMPETITIVE|REP_LEAN
23992,Thousand Oaks,38.01,31.0,40.68,41.69,-1.009999999999998,295.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
24279,Simi Valley,40.63,29.61,41.28,42.31,-1.0300000000000011,390.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
24509,,39.89,33.6,41.69,42.74,-1.0500000000000043,379.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23872,Thousand Oaks,39.76,35.21,41.9,42.98,-1.0799999999999983,463.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24260,Simi Valley,37.26,31.49,38.55,37.45,1.0999999999999943,275.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23666,Simi Valley,39.27,32.18,39.15,40.31,-1.1600000000000037,258.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23767,Thousand Oaks,37.92,33.82,38.84,40.0,-1.1599999999999966,345.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23964,Thousand Oaks,38.57,37.07,41.33,42.49,-1.1600000000000037,346.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23775,Simi Valley,33.18,36.07,40.18,41.35,-1.1700000000000017,341.0,HIGHLY_COMPETITIVE|REP_LEAN|DEM_FLIP_TARGET|REP_FLIP_TARGET
23509,Simi Valley,40.6,33.05,40.6,41.79,-1.1899999999999977,335.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24313,Camarillo,36.6,36.08,40.04,41.37,-1.3299999999999983,452.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24010,Thousand Oaks,37.05,35.29,40.61,41.99,-1.3800000000000026,362.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23473,Camarillo,40.77,31.54,40.21,38.81,1.3999999999999986,286.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23905,Thousand Oaks,37.92,28.78,39.47,41.05,-1.5799999999999983,380.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
24027,Thousand Oaks,35.86,37.38,40.77,42.37,-1.5999999999999943,439.0,HIGHLY_COMPETITIVE|REP_LEAN
24462,Moorpark,37.8,32.3,40.89,39.27,1.6199999999999974,247.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23528,Simi Valley,37.44,29.57,40.6,38.93,1.6700000000000017,298.0,HIGHLY_COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23831,Thousand Oaks,37.61,34.03,38.74,40.44,-1.6999999999999957,413.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
23925,Thousand Oaks,36.07,39.18,41.14,42.94,-1.7999999999999972,333.0,HIGHLY_COMPETITIVE|REP_LEAN|DEM_FLIP_TARGET
23867,Thousand Oaks,40.36,32.43,39.35,41.16,-1.8099999999999952,277.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
